"Sort
order","Major area, region, country or area of destination",Total
,,2019
1,WORLD,"130,154,101"
2,Burundi,"162,855"
3,Comoros,"6,457"
4,Djibouti,"54,687"
5,Eritrea,"7,179"
6,Ethiopia,"615,120"
7,Kenya,"522,533"
8,Madagascar,"15,037"
9,Malawi,"129,720"
10,Mauritius,"12,870"
11,Mayotte,"40,106"
12,Mozambique,"172,934"
13,Réunion,"63,629"
14,Rwanda,"270,015"
15,Seychelles,"3,877"
16,Somalia,"24,947"
17,South Sudan,"423,875"
18,Uganda,"897,546"
19,United Republic of Tanzania,"257,742"
20,Zambia,"84,151"
21,Zimbabwe,"177,605"
22,Middle Africa,"1,783,607"
23,Angola,"327,760"
24,Cameroon,"255,515"
25,Central African Republic,"42,645"
26,Chad,"275,896"
27,Congo,"181,904"
28,Democratic Republic of the Congo,"499,879"
29,Equatorial Guinea,"52,214"
30,Gabon,"146,705"
31,Sao Tome and Principe,"1,089"
32,Southern Africa,"1,990,075"
33,Botswana,"47,653"
34,Eswatini,"15,728"
35,Lesotho,"3,177"
36,Namibia,"49,623"
37,South Africa,"1,873,894"
38,Western Africa,"3,470,892"
39,Benin,"206,519"
40,Burkina Faso,"376,508"
41,Cabo Verde,"7,742"
42,Côte d'Ivoire,"1,137,566"
43,Gambia,"101,854"
44,Ghana,"217,556"
45,Guinea,"49,947"
46,Guinea-Bissau,"13,926"
47,Liberia,"40,591"
48,Mali,"230,802"
49,Mauritania,"75,221"
50,Niger,"154,735"
51,Nigeria,"567,087"
52,Saint Helena,131
53,Senegal,"129,243"
54,Sierra Leone,"23,608"
55,Togo,"137,856"
56,NORTHERN AFRICA AND WESTERN ASIA,"17,262,072"
57,Northern Africa,"1,280,977"
58,Algeria,"117,479"
59,Egypt,"233,005"
60,Libya,"235,543"
61,Morocco,"49,095"
62,Sudan,"615,941"
63,Tunisia,"27,711"
64,Western Sahara,"2,203"
65,Western Asia,"15,981,095"
66,Armenia,"112,158"
67,Azerbaijan,"132,247"
68,Bahrain,"205,433"
69,Cyprus,"106,714"
